danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,year,hit,bars,beats,sections,segments,tatums
0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.013,audio_features,0gPQTLaqHDgdupKEok7J2x,spotify:track:0gPQTLaqHDgdupKEok7J2x,https://api.spotify.com/v1/tracks/0gPQTLaqHDgdupKEok7J2x,https://api.spotify.com/v1/audio-analysis/0gPQTLaqHDgdupKEok7J2x,235133,4,2000,1,0.34448540323908994,1.3694358005307032,0.05103487455393925,4.8823363323268545,2.7388716010614065
0.627,0.716,2,-7.175,1,0.0352,0.127,0.0,0.0344,0.734,101.99,audio_features,6vgN6KGstss0GnBbKlMNK9,spotify:track:6vgN6KGstss0GnBbKlMNK9,https://api.spotify.com/v1/tracks/6vgN6KGstss0GnBbKlMNK9,https://api.spotify.com/v1/audio-analysis/6vgN6KGstss0GnBbKlMNK9,186067,4,2000,1,0.4245789963350234,1.6875671499898397,0.06449301210152254,3.267645946477142,3.3751342999796794
0.478,0.736,7,-7.124,1,0.0367,0.02,9.58e-05,0.118,0.564,144.705,audio_features,046MBhhgQJJghnbgZCkaAR,spotify:track:046MBhhgQJJghnbgZCkaAR,https://api.spotify.com/v1/tracks/046MBhhgQJJghnbgZCkaAR,https://api.spotify.com/v1/audio-analysis/046MBhhgQJJghnbgZCkaAR,229827,4,2000,1,0.5917502702471271,2.371352185916796,0.052213259139452385,3.276382011000637,4.742704371833592
0.625,0.85,4,-3.904,1,0.0495,0.346,0.000233,0.174,0.633,94.661,audio_features,25FTMokYEbEWHEdss5JLZS,spotify:track:25FTMokYEbEWHEdss5JLZS,https://api.spotify.com/v1/tracks/25FTMokYEbEWHEdss5JLZS,https://api.spotify.com/v1/audio-analysis/25FTMokYEbEWHEdss5JLZS,241667,4,2000,1,0.3682758569892985,1.497931013821641,0.04965517172889418,3.3103447819262786,2.995862027643282
0.634,0.677,5,-7.278,0,0.0304,0.0117,0.00103,0.126,0.558,135.012,audio_features,4Y8q64VnhD0vFYy9g2WFpi,spotify:track:4Y8q64VnhD0vFYy9g2WFpi,https://api.spotify.com/v1/tracks/4Y8q64VnhD0vFYy9g2WFpi,https://api.spotify.com/v1/audio-analysis/4Y8q64VnhD0vFYy9g2WFpi,240867,4,2000,1,0.5521727020180915,2.21284248252363,0.03736507006137462,4.745363897794577,4.42568496504726
0.561,0.543,1,-8.498,1,0.0324,0.26,0.0,0.124,0.243,139.803,audio_features,6qc34bnVOyqGDPni8H5W0U,spotify:track:6qc34bnVOyqGDPni8H5W0U,https://api.spotify.com/v1/tracks/6qc34bnVOyqGDPni8H5W0U,https://api.spotify.com/v1/audio-analysis/6qc34bnVOyqGDPni8H5W0U,240867,4,2000,1,0.5812344231769385,2.2917242970976432,0.05397176786643001,2.922778813689748,4.5834485941952865
0.739,0.947,11,-1.915,0,0.0412,0.00947,2.99e-05,0.326,0.763,88.009,audio_features,7f1Dmr246cJ9uQYdbplTbh,spotify:track:7f1Dmr246cJ9uQYdbplTbh,https://api.spotify.com/v1/tracks/7f1Dmr246cJ9uQYdbplTbh,https://api.spotify.com/v1/audio-analysis/7f1Dmr246cJ9uQYdbplTbh,261933,4,2000,1,0.36268772525771065,1.4583864320888997,0.0343598897612568,4.7416647870534385,2.9167728641777995
0.408,0.849,2,-5.631,1,0.0333,0.0136,2.51e-05,0.56,0.628,84.192,audio_features,4hN1YXd11OLuCVAGyawbgz,spotify:track:4hN1YXd11OLuCVAGyawbgz,https://api.spotify.com/v1/tracks/4hN1YXd11OLuCVAGyawbgz,https://api.spotify.com/v1/audio-analysis/4hN1YXd11OLuCVAGyawbgz,278667,4,2000,1,0.3444976158970722,1.3887560140850723,0.05023923565165636,3.0287082064284263,2.7775120281701446
0.779,0.834,7,-2.773,1,0.162,0.0343,0.0,0.0886,0.8,100.46,audio_features,7JKEA8xYDoFp4q0QBW2PGg,spotify:track:7JKEA8xYDoFp4q0QBW2PGg,https://api.spotify.com/v1/tracks/7JKEA8xYDoFp4q0QBW2PGg,https://api.spotify.com/v1/audio-analysis/7JKEA8xYDoFp4q0QBW2PGg,198347,4,2000,1,0.4083759212280156,1.6536703970714706,0.05545845843837249,4.628260440584177,3.307340794142941
0.481,0.94,7,-5.204,1,0.066,0.000891,0.0,0.0939,0.66,96.493,audio_features,3mNecsYFb6LQg7822DPXCP,spotify:track:3mNecsYFb6LQg7822DPXCP,https://api.spotify.com/v1/tracks/3mNecsYFb6LQg7822DPXCP,https://api.spotify.com/v1/audio-analysis/3mNecsYFb6LQg7822DPXCP,189333,4,2000,1,0.39612676753744314,1.57922537991594,0.03169014140299545,3.6179578101753136,3.15845075983188
0.729,0.632,0,-8.75,0,0.0279,0.191,0.0,0.166,0.774,109.981,audio_features,1f6tOvu5LoYkPMrBhIkywm,spotify:track:1f6tOvu5LoYkPMrBhIkywm,https://api.spotify.com/v1/tracks/1f6tOvu5LoYkPMrBhIkywm,https://api.spotify.com/v1/audio-analysis/1f6tOvu5LoYkPMrBhIkywm,201947,4,2000,1,0.4456622136923575,1.792552459518149,0.03961441899487622,3.495972476297826,3.585104919036298
0.644,0.874,0,-4.666,0,0.0801,0.0459,2.24e-06,0.0584,0.882,165.09,audio_features,35zGjsxI020C2NPKp2fzS7,spotify:track:35zGjsxI020C2NPKp2fzS7,https://api.spotify.com/v1/tracks/35zGjsxI020C2NPKp2fzS7,https://api.spotify.com/v1/audio-analysis/35zGjsxI020C2NPKp2fzS7,191040,4,2000,1,0.675251256281407,2.737646566164154,0.0471105527638191,3.962520938023451,5.475293132328308
0.518,0.83,6,-6.814,0,0.0386,0.0404,3.85e-06,0.375,0.527,95.468,audio_features,6fA7akEuTUL3dW1V0GELaZ,spotify:track:6fA7akEuTUL3dW1V0GELaZ,https://api.spotify.com/v1/tracks/6fA7akEuTUL3dW1V0GELaZ,https://api.spotify.com/v1/audio-analysis/6fA7akEuTUL3dW1V0GELaZ,256133,4,2000,1,0.39823009367816364,1.5890161581079667,0.03513794944219091,3.580166626498785,3.1780323162159334
0.329,0.747,10,-6.411,1,0.0297,0.125,2.08e-06,0.197,0.177,109.702,audio_features,7w57O4o0xCTn9YpKuaPZDd,spotify:track:7w57O4o0xCTn9YpKuaPZDd,https://api.spotify.com/v1/tracks/7w57O4o0xCTn9YpKuaPZDd,https://api.spotify.com/v1/audio-analysis/7w57O4o0xCTn9YpKuaPZDd,307000,4,2000,1,0.4527687296416938,1.8143322475570032,0.04234527687296417,3.192182410423453,3.6286644951140063
0.859,0.622,11,-8.196,1,0.0445,0.0661,0.0,0.0394,0.433,134.007,audio_features,487Dyzs7Xbbk4hIWYyYT80,spotify:track:487Dyzs7Xbbk4hIWYyYT80,https://api.spotify.com/v1/tracks/487Dyzs7Xbbk4hIWYyYT80,https://api.spotify.com/v1/audio-analysis/487Dyzs7Xbbk4hIWYyYT80,243533,4,2000,1,0.5543389071220765,2.2255680567419662,0.04106214126830196,3.9050096346155163,4.4511361134839325
